label,area,eccentricity,solidity,extent,perimeter,mean_intensity,bbox-0,bbox-1,bbox-2,bbox-3
1,171.0,0.4764089986572842,0.9395604395604396,0.6705882352941176,47.698484809834994,0.2989945411682129,7,90,22,107
2,97.0,0.212624752177695,0.9797979797979798,0.7348484848484849,33.798989873223334,0.28627756237983704,28,172,39,184
3,164.0,0.7028086049281539,0.9534883720930233,0.7420814479638009,47.698484809834994,0.21310117840766907,39,123,52,140
4,115.0,0.7748627939367901,0.9349593495934959,0.696969696969697,40.04163056034261,0.2871614396572113,54,172,69,183
5,98.0,0.3315507238092276,0.98,0.8099173553719008,33.55634918610404,0.2618291974067688,97,221,108,232
6,112.0,0.47408568198305573,0.9333333333333333,0.717948717948718,37.798989873223334,0.19750414788722992,113,235,126,247
7,285.0,0.7983391413419578,0.9193548387096774,0.7289002557544757,67.11269837220809,0.26037636399269104,140,98,163,115
8,97.0,0.5836084416309685,0.9797979797979798,0.8016528925619835,33.55634918610404,0.28060656785964966,186,55,197,66
9,143.0,0.18038907991453695,0.9862068965517241,0.8461538461538461,40.97056274847714,0.23704954981803894,235,154,248,167
